Product Name,Barcode,Product Group,Designed Capacity (ml),Material Type,"Height (with cap, in mm)",Registration Status,Weight - Empty(gm),Date Approval Status updated,Largest diameter (mm),Expiry Date,Glass Colour,PET Colour,Glass Colour - Other,Beverage Registrations #,Product Group - Other,Material Type - Other,NSW Refund Logo,Removable Lid?
Smirnoff Red Ice,5410316992060,Premixed alcoholic beverages,275,Glass,220,Active,155,15-Nov-17,60,30-Nov-22,Flint/Clear,,,BR-0003083,,,TRUE,
Lindemans Kriek Cuvee Rene 750,5411223010519,Beer,750,Glass,297,Active,600,28-Nov-17,83,30-Nov-22,Green,,,BR-0006276,,,TRUE,
Lindemans Gueuze 375ml,5411223010526,Beer,375,Glass,247,Active,477,28-Nov-17,69,30-Nov-22,Green,,,BR-0006273,,,TRUE,
Lindemans Gueuze Cuvee Rene 375,5411223010533,Beer,375,Glass,247,Active,477,28-Nov-17,69,30-Nov-22,Green,,,BR-0006274,,,TRUE,
Lindemans Blossom Gueuze 750ml,5411223010588,Beer,750,Glass,297,Active,600,28-Nov-17,83,30-Nov-22,Green,,,BR-0006277,,,TRUE,
Lindemans Kriek 375ml,5411223010724,Beer,375,Glass,247,Active,477,28-Nov-17,69,30-Nov-22,Green,,,BR-0006269,,,TRUE,
Lindemans Faro 375ml,5411223010922,Beer,375,Glass,247,Active,477,28-Nov-17,69,30-Nov-22,Green,,,BR-0006275,,,TRUE,
Lindemans Framboise 375ml,5411223013039,Beer,375,Glass,247,Active,477,28-Nov-17,69,30-Nov-22,Green,,,BR-0006270,,,TRUE,
Lindemans Cassis 375ml,5411223014036,Beer,375,Glass,247,Active,477,28-Nov-17,69,30-Nov-22,Green,,,BR-0006272,,,TRUE,
Lindemans Pecheresse 375ml,5411223014050,Beer,375,Glass,247,Active,477,28-Nov-17,69,30-Nov-22,Green,,,BR-0006271,,,TRUE,
Dam Burg,5411616004323,Beer,330,Aluminium,110,Active,13,16-Oct-17,50,30-Nov-22,,,,BR-0000843,,,FALSE,No
DUVEL BTLS 750ML,5411681014050,Beer,750,Glass,290,Active,600,19-Jan-18,80,16-Jan-23,Amber/Brown,,,BR-0008071,,,FALSE,
BROOKLYN SUMMER ALE,5707643300133,Beer,355,Aluminium,130,Active,15,17-Oct-17,70,30-Nov-22,,,,BR-0002485,,,FALSE,No
BROOKLYN AMERICAN,5707643500137,Beer,355,Aluminium,130,Active,15,17-Oct-17,70,30-Nov-22,,,,BR-0002482,,,FALSE,No
CARLSBERG GREEN BTLS 330ML,5740700997754,Beer,330,Glass,220,Active,230,19-Jan-18,60,16-Jan-23,Green,,,BR-0008068,,,FALSE,
Royal Jamaican Ginger Beer Bottle 24x355ml,6005190017672,Beer,355,Glass,22,Active,205,7-Dec-17,60,1-Dec-22,Amber/Brown,,,BR-0007236,,,FALSE,
CXS Lemon Tea 500ml,6939209511106,Flavoured water/soft drink/ sports drink (non-carb),500,PET,220,Active,54,15-Dec-17,60,1-Dec-22,,Clear/Transparent,,BR-0007573,,,TRUE,
Nogne O India Pale Ale 500ml,7090008090007,Beer,500,Glass,273,Active,382,28-Nov-17,67,30-Nov-22,Amber/Brown,,,BR-0006283,,,TRUE,
Nogne O Pale Ale 500ml,7090008090014,Beer,500,Glass,273,Active,382,28-Nov-17,67,30-Nov-22,Amber/Brown,,,BR-0006278,,,TRUE,
Nogne O Porter 500ml,7090008090045,Beer,500,Glass,273,Active,382,28-Nov-17,67,30-Nov-22,Amber/Brown,,,BR-0006279,,,TRUE,
Nogne O #100 500ml,7090008090397,Beer,500,Glass,273,Active,382,28-Nov-17,67,30-Nov-22,Amber/Brown,,,BR-0006286,,,TRUE,
Nogne O Imperial Stout 500ml,7090008090472,Beer,500,Glass,273,Active,382,28-Nov-17,67,30-Nov-22,Amber/Brown,,,BR-0006285,,,TRUE,
Nogne O Imperial Brown 500ml,7090008090533,Beer,500,Glass,273,Active,382,28-Nov-17,67,30-Nov-22,Amber/Brown,,,BR-0006280,,,TRUE,
Nogne O #500 Imperial IPA 500ml,7090008091080,Beer,500,Glass,273,Active,382,28-Nov-17,67,30-Nov-22,Amber/Brown,,,BR-0006290,,,TRUE,
Rekorderlig Strawberry Lime Cider Cocktail with Vodka,7311100435900,Cider/fruit based alcohol,330,Glass,232,Active,230,18-Jan-18,60,5-Jan-23,Flint/Clear,,,BR-0008002,,,TRUE,
Rekorderlig Wildberry Cider Cocktail with Rum,7311100436204,Cider/fruit based alcohol,330,Glass,232,Active,230,18-Jan-18,60,5-Jan-23,Flint/Clear,,,BR-0008001,,,TRUE,
Rekorderlig Mango Raspberry Cider Cocktail with Vodka,7311100436501,Cider/fruit based alcohol,330,Glass,232,Active,230,18-Jan-18,60,5-Jan-23,Flint/Clear,,,BR-0008000,,,TRUE,
Kopparberg Raspberry Cider,7393714125309,Cider/fruit based alcohol,330,Glass,220,Active,215,2-May-18,57,30-Apr-23,Amber/Brown,,,BR-0008763,,,TRUE,
Kopparberg Elderflower & Lime Cider,7393714125408,Cider/fruit based alcohol,330,Glass,220,Active,215,2-May-18,57,30-Apr-23,Amber/Brown,,,BR-0008762,,,TRUE,
Kopparberg Blueberry & Lime Cider,7393714125507,Cider/fruit based alcohol,330,Glass,220,Active,215,2-May-18,57,30-Apr-23,Amber/Brown,,,BR-0008761,,,TRUE,
Kopparberg Pear Cider,7393714506405,Cider/fruit based alcohol,330,Glass,220,Active,215,2-May-18,57,30-Apr-23,Amber/Brown,,,BR-0008764,,,TRUE,
Corona (24 x 355ml),7501064101410,Beer,355,Glass,240,Active,229,20-Nov-17,55,30-Nov-22,Flint/Clear,,,BR-0005128,,,FALSE,
Pacifico (24 x 355ml),7501064193460,Beer,355,Glass,240,Active,183,20-Nov-17,55,30-Nov-22,Amber/Brown,,,BR-0005135,,,FALSE,
San Pellegrino Sparkling Water (15 x 750ml),8002270000188,Plain water (carbonated or non-carbonated),750,Glass,290,Active,276,20-Nov-17,70,30-Nov-22,Green,,,BR-0005141,,,FALSE,
SAN PELLEGRINO 250ML,8002270015991,Plain water (carbonated or non-carbonated),250,Glass,170,Active,100,8-Feb-18,60,7-Feb-23,Green,,,BR-0008075,,,FALSE,
Organic Blood Orange,8007885759469,Flavoured water/soft drink (carbonated),1000,Glass,300,Active,568,1-Feb-18,80,31-Jan-23,Flint/Clear,,,BR-0008248,,,FALSE,
Peroni Red Low Gluten (12 x 330ml),8008440010308,Beer,330,Glass,215,Active,154,20-Nov-17,50,30-Nov-22,Amber/Brown,,,BR-0005139,,,FALSE,
Peroni Rossa Gran Riserva (12 x 500ml),8008440013002,Beer,500,Glass,240,Active,308,20-Nov-17,70,30-Nov-22,Amber/Brown,,,BR-0005140,,,FALSE,
Peroni Puro Malto Gran Riserva (12 x 500ml),8008440019066,Beer,500,Glass,240,Active,322,20-Nov-17,70,30-Nov-22,Amber/Brown,,,BR-0005137,,,FALSE,
Peroni Nastro Azzurro (24 x 330ml),8008440222008,Beer,330,Glass,225,Active,162,20-Nov-17,50,30-Nov-22,Green,,,BR-0005136,,,FALSE,
ESTRELLA GALICIA GLUTEN FREE,8412598002304,Beer,330,Glass,225,Active,199,7-Dec-17,60,1-Dec-22,Amber/Brown,,,BR-0007601,,,FALSE,
ESTRELLA GALICIA 1906 RESERVA ESPECIAL,8412598034213,Beer,330,Glass,225,Active,200,7-Dec-17,60,1-Dec-22,Amber/Brown,,,BR-0007600,,,FALSE,
ESTRELLA GALICIA PREMIUM LAGER,8412598074219,Beer,330,Glass,225,Active,199,7-Dec-17,60,1-Dec-22,Amber/Brown,,,BR-0007599,,,FALSE,
Rosita Original Bottle 24x330ml,8437009655016,Beer,330,Glass,22,Active,205,7-Dec-17,60,1-Dec-22,Amber/Brown,,,BR-0007247,,,FALSE,
BECKS BTLS 330ML,8690520251680,Beer,330,Glass,225,Active,205,19-Jan-18,62,16-Jan-23,Green,,,BR-0008067,,,FALSE,
Heineken Longneck,8712000022662,Beer,650,Glass,360,Active,375,15-Nov-17,60,30-Nov-22,Green,,,BR-0003085,,,FALSE,
Heineken Can,8712000028268,Beer,500,Aluminium,170,Active,30,26-Feb-18,65,30-Nov-22,,,,BR-0002866,,,FALSE,No
Heineken (24 x 330ml),8712000030575,Beer,330,Glass,230,Active,184,20-Nov-17,50,30-Nov-22,Green,,,BR-0005129,,,FALSE,
Heineken Can,8712000900182,Beer,330,Aluminium,110,Active,12,19-Jan-18,60,30-Nov-22,,,,BR-0003084,,,FALSE,No
HEINEKEN BTLS 330ML,8712000900663,Beer,330,Glass,116,Active,132,19-Jan-18,67,16-Jan-23,Green,,,BR-0008072,,,FALSE,
Lander Brau Weissbeer,8714800026710,Beer,330,Glass,220,Active,180,16-Oct-17,60,30-Nov-22,Amber/Brown,,,BR-0002426,,,FALSE,
Claro Tequila Lager,8714800029742,Beer,330,Glass,220,Active,215,16-Oct-17,60,30-Nov-22,Flint/Clear,,,BR-0002427,,,FALSE,
Claro Lager,8714800030106,Beer,330,Glass,220,Active,215,16-Oct-17,60,30-Nov-22,Flint/Clear,,,BR-0002428,,,FALSE,
CAPRISUN ORANGE,8801043650182,Fruit juice,200,Other,145,Active,4,8-Nov-19,175,24-Oct-24,,,,BR-0002786,,Pouch,FALSE,
CAPRISUN SAFARI,8801043650199,Fruit juice,200,Other,145,Active,4,8-Nov-19,175,24-Oct-24,,,,BR-0002787,,Pouch,FALSE,
CAPRISUN ALASKA ICE TEA,8801043650205,Fruit juice,200,Other,145,Active,4,8-Nov-19,175,24-Oct-24,,,,BR-0002788,,Pouch,FALSE,
CAPRISUN STRAWBERRY KIWI,8801043650236,Fruit juice,200,Other,145,Active,4,8-Nov-19,175,24-Oct-24,,,,BR-0002789,,Pouch,FALSE,
CAPRISUN ORANGE MANGO,8801043650311,Fruit juice,200,Other,145,Active,4,8-Nov-19,175,24-Oct-24,,,,BR-0002791,,Pouch,FALSE,
CAPRISUN APPLE,8801043650700,Fruit juice,200,Other,145,Active,4,8-Nov-19,175,24-Oct-24,,,,BR-0002790,,Pouch,FALSE,
RedBull Gold 250ml,8850228000151,Flavoured water/soft drink/ sports drink (non-carb),250,Aluminium,92,Active,32,1-Feb-18,53,30-Nov-22,,,,BR-0002898,,,FALSE,No
Coca Cola Classic 330ml,8888002076009,Flavoured water/soft drink (carbonated),330,Aluminium,140,Active,35,1-Feb-18,50,30-Nov-22,,,,BR-0002894,,,FALSE,No
